date,home_team,score,away_team
19-09-2021,Mallorca,0 - 0,Villarreal
22-09-2021,Real Madrid,6 - 1,Mallorca
26-09-2021,Mallorca,2 - 3,Osasuna
02-10-2021,Mallorca,1 - 0,Levante
16-10-2021,Sociedad,1 - 0,Mallorca
23-10-2021,Valencia,2 - 2,Mallorca
27-10-2021,Mallorca,1 - 1,Sevilla
31-10-2021,Cadiz,1 - 1,Mallorca
07-11-2021,Mallorca,2 - 2,Elche
22-11-2021,Vallecano,3 - 1,Mallorca
27-11-2021,Mallorca,0 - 0,Getafe
04-12-2021,Ath Madrid,1 - 2,Mallorca
10-12-2021,Mallorca,0 - 0,Celta
19-12-2021,Granada,4 - 1,Mallorca
02-01-2022,Mallorca,0 - 1,Barcelona
08-01-2022,Levante,2 - 0,Mallorca
22-01-2022,Villarreal,3 - 0,Mallorca
05-02-2022,Mallorca,2 - 1,Cadiz
14-02-2022,Mallorca,3 - 2,Ath Bilbao
20-02-2022,Betis,2 - 1,Mallorca
26-02-2022,Mallorca,0 - 1,Valencia
02-03-2022,Mallorca,0 - 2,Sociedad
06-03-2022,Celta,4 - 3,Mallorca
14-03-2022,Mallorca,0 - 3,Real Madrid
20-03-2022,Espanol,1 - 0,Mallorca
02-04-2022,Getafe,1 - 0,Mallorca
09-04-2022,Mallorca,1 - 0,Ath Madrid
16-04-2022,Elche,3 - 0,Mallorca
19-04-2022,Mallorca,2 - 1,Alaves
01-05-2022,Barcelona,2 - 1,Mallorca
07-05-2022,Mallorca,2 - 6,Granada
11-05-2022,Sevilla,0 - 0,Mallorca
15-05-2022,Mallorca,2 - 1,Vallecano
22-05-2022,Osasuna,0 - 2,Mallorca
14-08-2021,Osasuna,0 - 0,Espanol
23-08-2021,Osasuna,0 - 0,Celta
29-08-2021,Cadiz,2 - 3,Osasuna
12-09-2021,Osasuna,1 - 4,Valencia
18-09-2021,Alaves,0 - 2,Osasuna
23-09-2021,Osasuna,1 - 3,Betis
26-09-2021,Mallorca,2 - 3,Osasuna
02-10-2021,Osasuna,1 - 0,Vallecano
17-10-2021,Villarreal,1 - 2,Osasuna
22-10-2021,Osasuna,1 - 1,Granada
27-10-2021,Real Madrid,0 - 0,Osasuna
30-10-2021,Sevilla,2 - 0,Osasuna
07-11-2021,Osasuna,0 - 2,Sociedad
20-11-2021,Ath Madrid,1 - 0,Osasuna
29-11-2021,Osasuna,1 - 1,Elche
05-12-2021,Levante,0 - 0,Osasuna
12-12-2021,Osasuna,2 - 2,Barcelona
19-12-2021,Getafe,1 - 0,Osasuna
03-01-2022,Osasuna,1 - 3,Ath Bilbao
09-01-2022,Osasuna,2 - 0,Cadiz
19-01-2022,Celta,2 - 0,Osasuna
23-01-2022,Granada,0 - 2,Osasuna
05-02-2022,Osasuna,0 - 0,Sevilla
12-02-2022,Vallecano,0 - 3,Osasuna
19-02-2022,Osasuna,0 - 3,Ath Madrid
27-02-2022,Sociedad,1 - 0,Osasuna
05-03-2022,Osasuna,1 - 0,Villarreal
13-03-2022,Barcelona,4 - 0,Osasuna
19-03-2022,Osasuna,3 - 1,Levante
03-04-2022,Betis,4 - 1,Osasuna
10-04-2022,Osasuna,1 - 0,Alaves
16-04-2022,Valencia,1 - 2,Osasuna
20-04-2022,Osasuna,1 - 3,Real Madrid
01-05-2022,Elche,1 - 1,Osasuna
08-05-2022,Espanol,1 - 1,Osasuna
11-05-2022,Osasuna,1 - 1,Getafe
15-05-2022,Ath Bilbao,2 - 0,Osasuna
22-05-2022,Osasuna,0 - 2,Mallorca
14-08-2021,Alaves,1 - 4,Real Madrid
22-08-2021,Levante,3 - 3,Real Madrid
28-08-2021,Betis,0 - 1,Real Madrid
12-09-2021,Real Madrid,5 - 2,Celta
19-09-2021,Valencia,1 - 2,Real Madrid
22-09-2021,Real Madrid,6 - 1,Mallorca
25-09-2021,Real Madrid,0 - 0,Villarreal
03-10-2021,Espanol,2 - 1,Real Madrid
24-10-2021,Barcelona,1 - 2,Real Madrid
27-10-2021,Real Madrid,0 - 0,Osasuna
30-10-2021,Elche,1 - 2,Real Madrid
06-11-2021,Real Madrid,2 - 1,Vallecano
21-11-2021,Granada,1 - 4,Real Madrid
28-11-2021,Real Madrid,2 - 1,Sevilla
01-12-2021,Real Madrid,1 - 0,Ath Bilbao
04-12-2021,Sociedad,0 - 2,Real Madrid
12-12-2021,Real Madrid,2 - 0,Ath Madrid
19-12-2021,Real Madrid,0 - 0,Cadiz
22-12-2021,Ath Bilbao,1 - 2,Real Madrid
02-01-2022,Getafe,1 - 0,Real Madrid
08-01-2022,Real Madrid,4 - 1,Valencia
23-01-2022,Real Madrid,2 - 2,Elche
06-02-2022,Real Madrid,1 - 0,Granada
12-02-2022,Villarreal,0 - 0,Real Madrid
19-02-2022,Real Madrid,3 - 0,Alaves
